userid	history_list	pos_target	full_candidate
419430	[459806, 576761, 846134, 1074108, 246613, 246499, 246555, 1039288, 864078, 1074188]	4	[864447, 633232, 75639, 212592, 810885]
934974	[387060, 778364, 343355, 900786, 459812, 110944, 158317, 188681, 339702, 433880]	4	[376678, 194579, 2637, 210814, 686208]
1191122	[748136, 263755, 809502, 251060, 1075646, 861424, 29704, 825066, 852938, 776438]	1	[296225, 468405, 666835, 690312, 246235]
386591	[664803, 165972, 2529, 810170, 258191, 772055, 1015485, 312771, 102723, 751642]	1	[469814, 734043, 947622, 633627, 613844]
564335	[458151, 1092029, 796478, 265667, 846882, 516885, 910917, 846871, 212233, 846411]	2	[265666, 578862, 541829, 494872, 900432]
1116847	[844, 212155, 998098, 580942, 811977, 622964, 600911, 216262, 1011077, 439411]	3	[834072, 758535, 1029591, 1053292, 330282]
44355	[253214, 788036, 1051175, 1051951, 187552, 627227, 243160, 253486, 14693, 33776]	3	[481, 449358, 375863, 545600, 216215]
1184912	[1022919, 61815, 899195, 1102992, 775048, 469817, 297726, 741491, 375863, 638922]	1	[819545, 818999, 511092, 287620, 597749]
1279006	[337118, 37338, 215341, 561710, 809521, 815255, 217760, 217709, 869398, 515214]	4	[212033, 223992, 491911, 1064822, 875393]
698228	[846134, 246613, 1036760, 905629, 634845, 1044821, 1088803, 1094348, 547649, 159979]	0	[473786, 1039978, 910646, 634991, 516125]
1044366	[516119, 515732, 2224, 632017, 172449, 883415, 797649, 94249, 1055351, 403884]	2	[574754, 561710, 1055885, 794690, 1008634]
782409	[959833, 268116, 179009, 1044834, 1093367, 834072, 576005, 192686, 808643, 802060]	1	[217628, 342752, 1058326, 57871, 1113991]
1229656	[627654, 264067, 282316, 214948, 811921, 411090, 812531, 811923, 338167, 812528]	2	[563282, 878433, 396326, 584171, 1004194]
43286	[900453, 916630, 283201, 1014189, 863946, 900456, 300640, 753197, 884995, 916686]	2	[616523, 1075907, 900513, 809746, 246599]
26813	[812558, 456348, 638902, 900495, 967616, 343293, 1014434, 1061256, 779749, 13948]	1	[809666, 225029, 254825, 675598, 1053578]
685492	[215515, 957464, 1055789, 815857, 277628, 349820, 430390, 411290, 1078749, 74235]	0	[1106755, 314425, 338512, 577644, 11623]
1448156	[255602, 959911, 175442, 880231, 812528, 979379, 314425, 149330, 214948, 811927]	0	[300767, 411290, 357602, 808354, 216701]
1051411	[577113, 1055789, 273258, 1106755, 584623, 188362, 349820, 278641, 515235, 215515]	2	[214583, 99413, 74235, 485531, 681368]
