userid	history_list	pos_target	full_candidate
419430	[246499, 246555, 1039288, 864078, 1074188]	9	[300778, 43115, 212592, 633232, 945809, 864447, 452663, 75639, 565993, 810885]
934974	[110944, 158317, 188681, 339702, 433880]	3	[2224, 194579, 64014, 686208, 1029851, 210814, 2637, 776438, 376678, 411290]
1191122	[861424, 29704, 825066, 852938, 776438]	6	[246235, 506217, 1057685, 106529, 666835, 750071, 468405, 690312, 216469, 296225]
386591	[772055, 1015485, 312771, 102723, 751642]	8	[846691, 263755, 613844, 947622, 469814, 633627, 863657, 254426, 734043, 564099]
564335	[516885, 910917, 846871, 212233, 846411]	5	[494872, 11692, 669178, 1001363, 265666, 541829, 578862, 81013, 900432, 130816]
1116847	[622964, 600911, 216262, 1011077, 439411]	0	[1053292, 144635, 834072, 817727, 790368, 700868, 758535, 330282, 400532, 1029591]
44355	[627227, 243160, 253486, 14693, 33776]	9	[449358, 860877, 249544, 375863, 1029591, 216215, 868946, 481, 1103262, 545600]
1184912	[469817, 297726, 741491, 375863, 638922]	0	[818999, 157191, 1115606, 511092, 597749, 516859, 819545, 597749, 171400, 287620]
1279006	[815255, 217760, 217709, 869398, 515214]	1	[492214, 875393, 212033, 1064822, 223992, 582682, 168684, 300699, 1051169, 491911]
698228	[1044821, 1088803, 1094348, 547649, 159979]	6	[1006232, 763060, 614026, 169962, 686804, 910646, 473786, 516125, 634991, 1039978]
1044366	[883415, 797649, 94249, 1055351, 403884]	2	[879949, 30641, 1055885, 574754, 24457, 692525, 1008634, 923378, 561710, 794690]
782409	[834072, 576005, 192686, 808643, 802060]	7	[300018, 567542, 1058326, 164252, 434309, 1113991, 217628, 342752, 57871, 391368]
1229656	[411090, 812531, 811923, 338167, 812528]	5	[878433, 1004194, 225225, 613, 634146, 396326, 563282, 212244, 327992, 584171]
43286	[900456, 300640, 753197, 884995, 916686]	6	[616523, 293945, 327307, 780606, 809746, 246599, 900513, 1074312, 1075907, 615722]
26813	[343293, 1014434, 1061256, 779749, 13948]	3	[1053578, 910509, 843964, 225029, 517736, 168247, 778356, 675598, 254825, 809666]
685492	[349820, 430390, 411290, 1078749, 74235]	0	[1106755, 707528, 577644, 779211, 314069, 11623, 338512, 466280, 314425, 8307]
1448156	[979379, 314425, 149330, 214948, 811927]	5	[808354, 1032361, 411290, 752689, 931492, 300767, 216701, 300441, 357602, 394727]
1051411	[188362, 349820, 278641, 515235, 215515]	7	[681360, 485531, 681368, 214583, 282031, 887338, 468433, 74235, 99413, 1078257]
161358	[312176, 758085, 212168, 512261, 812559]	2	[1091811, 1032361, 300882, 626528, 825066, 564127, 373102, 900453, 144287, 519225]
1059855	[265336, 924867, 959551, 582076, 625180]	2	[17547, 961987, 346699, 770181, 459812, 595627, 451377, 491881, 653716, 458710]
673215	[846227, 461895, 780186, 1098943, 932123]	5	[699314, 300551, 277204, 251060, 760390, 639756, 86252, 95122, 710320, 790769]
1082480	[216469, 516498, 516993, 1057685, 311420]	4	[802056, 494872, 924635, 1023484, 517736, 254939, 455850, 212033, 615832, 816453]
1006976	[639756, 649877, 276137, 809746, 863666]	6	[470040, 220490, 344790, 561710, 176412, 900463, 511957, 751657, 825066, 178100]
1381004	[188681, 1107293, 158317, 298760, 200635]	9	[511957, 998017, 217810, 815806, 650083, 851424, 1066648, 338206, 845064, 920065]
1465830	[859712, 479140, 254939, 34984, 542850]	5	[354231, 164165, 468908, 920025, 209212, 267978, 15520, 1064708, 512239, 285686]
885703	[1076104, 1086922, 1021656, 1061262, 741493]	1	[843815, 809358, 1051951, 1042809, 1115625, 947648, 61815, 614280, 1039288, 553779]
105307	[1088803, 811624, 649876, 246487, 209532]	5	[102723, 253986, 368723, 846227, 574973, 634845, 607662, 924867, 817727, 176411]
743175	[812123, 388754, 900421, 1103605, 1076994]	7	[249595, 448577, 1061262, 300648, 522256, 1053578, 28222, 560379, 158832, 456348]
581925	[1050685, 8315, 864447, 39412, 95535]	1	[883290, 615722, 1047069, 820898, 182108, 297651, 190678, 68387, 329491, 627008]
1374303	[79368, 85291, 1036032, 469817, 582368]	3	[967616, 23028, 883290, 819004, 277001, 998017, 282802, 639120, 521514, 574973]
1280576	[410253, 900797, 302922, 794976, 284579]	0	[134765, 778939, 331037, 931953, 520559, 168302, 431535, 516859, 1114430, 757463]
936118	[31496, 67992, 809501, 605575, 681368]	5	[375790, 760390, 614541, 617119, 1078745, 331296, 515214, 975389, 884995, 633627]
707570	[458831, 583939, 388753, 220735, 550]	4	[49949, 95535, 1101434, 778988, 1075531, 630311, 394969, 1105835, 171400, 1093605]
1404658	[187358, 130364, 246499, 14863, 246613]	4	[164754, 638902, 862296, 920065, 10312, 629253, 267951, 750071, 342630, 282962]
1014506	[520850, 869925, 715, 820983, 103198]	9	[613, 95393, 212938, 516588, 215046, 627227, 817354, 803853, 11623, 260151]
935992	[1101692, 613844, 443335, 866769, 580159]	6	[900452, 478333, 1037598, 1075809, 815257, 1092029, 157903, 633232, 496109, 315352]
676446	[276033, 15520, 1090965, 187358, 1094348]	2	[996746, 910545, 10312, 547245, 627377, 1061262, 506, 344790, 780304, 649876]
230682	[1012931, 313525, 764118, 286504, 772961]	9	[995495, 300427, 564130, 1032353, 978961, 283111, 601292, 657988, 627760, 815806]
345151	[817727, 600528, 583939, 198972, 282716]	6	[386184, 627008, 741492, 243160, 2327, 215280, 460, 400532, 1037598, 492214]
828183	[193031, 1062685, 887338, 811760, 64014]	8	[188681, 185111, 462786, 260151, 900456, 445212, 573176, 371026, 887337, 684720]
196019	[613844, 900397, 1059714, 866769, 520735]	8	[581974, 849875, 13313, 811977, 811923, 368723, 1074108, 543658, 281010, 910542]
45955	[490181, 819004, 899195, 68387, 707528]	2	[487957, 251002, 164753, 194604, 193031, 518440, 616560, 1102447, 30448, 30502]
1361913	[11623, 451071, 14864, 14863, 803853]	2	[996746, 1044821, 616523, 1016093, 220735, 919900, 103198, 584165, 1046853, 331176]
153011	[638922, 162603, 741492, 819004, 899195]	0	[375863, 622964, 1101307, 772055, 214609, 328712, 851436, 820946, 686228, 287234]
946398	[681368, 67992, 1038468, 739798, 529397]	8	[752580, 212233, 639172, 515420, 680865, 578862, 197452, 812529, 409236, 863547]
537908	[272504, 300767, 512686, 233756, 995495]	0	[328408, 768508, 1098488, 864520, 180046, 1103262, 269560, 263340, 1062546, 1099214]
59816	[468937, 512530, 845735, 867660, 980804]	6	[324232, 751656, 1055776, 459812, 301010, 443335, 768684, 14030, 14030, 864347]
762576	[900797, 1115793, 1086922, 519229, 284579]	5	[1090965, 490770, 922894, 455850, 490211, 972209, 1046487, 1056489, 900302, 108205]
1009210	[67025, 1032351, 8315, 1081649, 23302]	9	[203040, 1059424, 512530, 639688, 944821, 516251, 862393, 550065, 195657, 788041]
444605	[1074188, 1074108, 451071, 846116, 15520]	5	[802, 875393, 699271, 771770, 344790, 386410, 600616, 164252, 883415, 790368]
1043514	[203472, 506865, 502743, 62246, 881717]	4	[274846, 681926, 1094348, 278641, 284510, 614026, 883415, 1032361, 919756, 296632]
927959	[276919, 283201, 220490, 300631, 884995]	1	[584459, 916686, 912826, 563095, 885622, 1058329, 327992, 568048, 820229, 1008012]
386358	[792654, 246872, 843964, 547190, 564162]	0	[771783, 1032353, 364925, 180401, 210438, 1091088, 282204, 882344, 297726, 300427]
281207	[746535, 816257, 141, 900089, 587274]	9	[634845, 11892, 980367, 490181, 492214, 262598, 628709, 900409, 846247, 15355]
783868	[900409, 600616, 820229, 388754, 900452]	6	[327006, 625180, 448577, 62246, 1057545, 811972, 900432, 311565, 1074188, 249544]
438617	[794280, 1101305, 864721, 74110, 900463]	3	[614010, 900449, 1078047, 300648, 964825, 505811, 715, 1053248, 794153, 324510]
1445460	[807, 850288, 597821, 315191, 300809]	0	[864146, 1059851, 98665, 490430, 509782, 163289, 1022919, 644193, 23302, 195657]
296660	[408615, 520081, 476620, 519225, 842288]	6	[410253, 466156, 1050715, 686208, 144635, 1093367, 639120, 909982, 615722, 1052077]
